id,district
25772,Южнопортовый
135977,Ярославский
138023,Мещанский
130124,Ховрино
22939,Бабушкинский
22938,Бабушкинский
68203,Дорогомилово
26802,Тверской
25330,Сокольники
127006,Коптево
28847,Соколиная Гора
22076,Якиманка
151309,Хорошёво-Мнёвники
136523,Хорошёво-Мнёвники
74713,Хорошёво-Мнёвники
22376,Басманный
21901,Северное Медведково
25493,Северное Медведково
25763,Северное Медведково
26375,Замоскворечье
21466,Кузьминки
150927,Перово
84013,Перово
142615,Перово
69910,Новогиреево
28814,Новогиреево
139187,Хамовники
26086,Хамовники
28431,Хамовники
155952,Соколиная Гора
73310,Измайлово
83153,Измайлово
28297,Восточное Измайлово
27435,Лосиноостровский
140738,Строгино
155976,Строгино
21593,Строгино
23365,Лефортово
29041,Царицыно
132486,Басманный
22357,Басманный
136546,Арбат
133416,Арбат
21839,Арбат
20602,Тверской
83594,Тверской
88745,Тверской
77796,Таганский
146854,Царицыно
24570,Царицыно
150654,Капотня
21659,Басманный
26624,Басманный
23303,Филёвский Парк
70677,Фили-Давыдково
28162,Зюзино
29373,Зюзино
148141,Пресненский
148142,Пресненский
140369,Пресненский
148070,Пресненский
156324,Нагатино-Садовники
28118,Нагатино-Садовники
27289,Москворечье-Сабурово
21227,Москворечье-Сабурово
21156,Москворечье-Сабурово
154653,Зюзино
23869,Зюзино
144273,Алексеевский
70129,Дорогомилово
70137,Дорогомилово
137745,Красносельский
156563,Басманный
22129,Басманный
22368,Басманный
150572,Басманный
69445,Басманный
154627,Басманный
154750,Басманный
73006,Басманный
21814,Басманный
20749,Басманный
26713,Басманный
149517,Басманный
143454,Басманный
28143,Чертаново Центральное
28145,Чертаново Центральное
29596,Чертаново Южное
141582,Мещанский
24089,Замоскворечье
26984,Даниловский
24184,Пресненский
25956,Басманный
20733,Тверской
154690,Нагатинский Затон
152448,Красносельский
22427,Красносельский
22552,Мещанский
70362,Бабушкинский
132665,Басманный
26519,Хамовники
26083,Хамовники
25175,Хамовники
25181,Хамовники
25174,Хамовники
151648,Хамовники
81642,Хамовники
24328,Хамовники
69538,Хамовники
69539,Хамовники
120271,Хамовники
26980,Хамовники
129986,Хамовники
20631,Хамовники
152083,Хамовники
153450,Хамовники
152316,Бибирево
23519,Рязанский
58470,Пресненский
152097,Хамовники
24399,Коптево
28721,Бибирево
24434,Останкинский
25486,Марфино
29516,Алексеевский
25309,Косино-Ухтомский
22885,Алексеевский
25231,Алексеевский
25239,Алексеевский
21252,Алексеевский
23312,Филёвский Парк
24415,Тимирязевский
71531,Гагаринский
28638,Аэропорт
19882,Проспект Вернадского
22983,Проспект Вернадского
52541,Ломоносовский
24275,Пресненский
26487,Пресненский
24270,Пресненский
154375,Пресненский
151875,Пресненский
156481,Пресненский
157805,Аэропорт
27582,Богородское
28869,Люблино
125473,Люблино
136899,Люблино
26232,Лефортово
152459,Красносельский
22421,Красносельский
22418,Красносельский
22414,Красносельский
84317,Красносельский
152450,Красносельский
22440,Красносельский
24124,Красносельский
152415,Красносельский
81647,Красносельский
87522,Таганский
157035,Таганский
21354,Вешняки
26591,Чертаново Центральное
158128,Чертаново Центральное
135721,Академический
24584,Академический
29060,Академический
138168,Академический
29059,Академический
26283,Академический
153448,Басманный
156169,Головинский
21795,Хамовники
69232,Хамовники
148956,Хамовники
20726,Южнопортовый
79517,Хамовники
27381,Строгино
79562,Кунцево
155168,Перово
144114,Новогиреево
69895,Дорогомилово
20418,Дорогомилово
27025,Дорогомилово
26346,Дорогомилово
143564,Дорогомилово
69884,Дорогомилово
23984,Дорогомилово
21780,Дорогомилово
21038,Дорогомилово
26347,Дорогомилово
25950,Басманный
25672,Марьина Роща
69917,Марьина Роща
28857,Лефортово
28091,Бирюлёво Восточное
20804,Хамовники
135634,Беговой
25749,Беговой
27898,Беговой
25526,Беговой
24359,Беговой
154663,Беговой
25469,Беговой
25720,Беговой
155931,Беговой
140611,Беговой
21623,Аэропорт
71678,Аэропорт
26124,Аэропорт
25606,Аэропорт
143379,Аэропорт
125031,Аэропорт
81474,Аэропорт
99299,Аэропорт
81473,Аэропорт
143289,Аэропорт
141395,Аэропорт
100556,Аэропорт
22693,Аэропорт
149256,Аэропорт
140186,Сокол
26122,Аэропорт
73830,Аэропорт
26145,Сокол
82871,Войковский
25193,Войковский
151422,Войковский
24114,Замоскворечье
24112,Замоскворечье
124468,Замоскворечье
133481,Замоскворечье
149218,Замоскворечье
149220,Замоскворечье
149221,Замоскворечье
149227,Замоскворечье
149205,Замоскворечье
149131,Замоскворечье
80848,Якиманка
139687,Якиманка
22636,Якиманка
26254,Донской
154752,Гагаринский
70724,Донской
76398,Донской
27076,Донской
27259,Донской
134332,Донской
21550,Гагаринский
25780,Гагаринский
27083,Гагаринский
26680,Гагаринский
117453,Гагаринский
137523,Гагаринский
26678,Гагаринский
26592,Гагаринский
26290,Гагаринский
24856,Гагаринский
156524,Ломоносовский
24612,Ломоносовский
156525,Ломоносовский
58505,Ломоносовский
23925,Обручевский
83265,Обручевский
93507,Тропарёво-Никулино
28725,Бибирево
29852,Бибирево
22192,Бибирево
20601,Тверской
154321,Тверской
149873,Тверской
27084,Тверской
149346,Даниловский
20921,Тимирязевский
20969,Тимирязевский
20974,Тимирязевский
20971,Тимирязевский
28575,Тимирязевский
21554,Гагаринский
27163,Гагаринский
19734,Раменки
29537,Богородское
152488,Красносельский
24319,Хамовники
80903,Замоскворечье
25523,Замоскворечье
155984,Даниловский
141363,Даниловский
22360,Басманный
22219,Ивановское
29839,Ивановское
120714,Басманный
146555,Басманный
124479,Замоскворечье
24292,Пресненский
150172,Пресненский
156823,Пресненский
24514,Люблино
153381,Хамовники
83949,Таганский
29163,Таганский
27313,Таганский
27709,Перово
125293,Красносельский
22449,Красносельский
22682,Аэропорт
156430,Аэропорт
87612,Беговой
151900,Беговой
22710,Беговой
25607,Савёловский
25377,Даниловский
23687,Очаково-Матвеевское
151817,Сокольники
154967,Басманный
84014,Басманный
128198,Бирюлёво Западное
127874,Бабушкинский
25496,Перово
26562,Перово
99739,Мещанский
23906,Обручевский
23930,Обручевский
23910,Обручевский
21926,Обручевский
23932,Обручевский
25406,Обручевский
23923,Обручевский
23915,Обручевский
23919,Обручевский
23904,Обручевский
23902,Обручевский
23926,Обручевский
132899,Коньково
25816,Коньково
21433,Бутырский
153361,Нагатино-Садовники
149899,Мещанский
69300,Мещанский
71378,Мещанский
146123,Мещанский
137644,Мещанский
128970,Мещанский
150870,Мещанский
111162,Мещанский
156605,Мещанский
26026,Мещанский
22476,Мещанский
26028,Мещанский
138708,Мещанский
111152,Мещанский
69478,Мещанский
58901,Останкинский
20284,Останкинский
20795,Останкинский
21800,Останкинский
142956,Останкинский
22892,Алексеевский
153638,Алексеевский
147579,Алексеевский
80359,Алексеевский
128154,Алексеевский
81505,Алексеевский
26149,Алексеевский
20704,Алексеевский
143561,Алексеевский
22893,Алексеевский
21002,Савёловский
69806,Рязанский
26252,Донской
28543,Коптево
149756,Коптево
127005,Коптево
21892,Коптево
142611,Пресненский
150501,Пресненский
24201,Пресненский
102889,Пресненский
75276,Хорошёво-Мнёвники
22717,Можайский
68021,Можайский
20113,Можайский
69804,Можайский
22821,Можайский
58812,Кунцево
156001,Кунцево
146458,Арбат
19853,Раменки
22947,Раменки
70026,Раменки
29853,Бибирево
28765,Отрадное
141598,Даниловский
24654,Хамовники
28998,Нагатино-Садовники
149470,Нагатино-Садовники
25594,Нагатино-Садовники
151319,Котловка
24601,Котловка
156618,Хорошёво-Мнёвники
25927,Хорошёво-Мнёвники
26912,Хорошёво-Мнёвники
72569,Щукино
20297,Щукино
25934,Щукино
25460,Щукино
155875,Щукино
29433,Нагорный
29427,Нагорный
129456,Мещанский
83028,Мещанский
21750,Мещанский
137544,Мещанский
69302,Мещанский
24257,Пресненский
129861,Пресненский
69465,Тверской
22065,Тверской
70172,Очаково-Матвеевское
69254,Таганский
25442,Таганский
26245,Нижегородский
26673,Нижегородский
27423,Лианозово
27424,Лианозово
124182,Нагатинский Затон
70951,Рязанский
154360,Перово
23226,Перово
23228,Перово
152117,Хамовники
26518,Хамовники
53083,Филёвский Парк
140542,Замоскворечье
124624,Замоскворечье
124526,Замоскворечье
24401,Коптево
22425,Красносельский
111731,Басманный
27483,Гольяново
73905,Тверской
20603,Тверской
133140,Тверской
129244,Тверской
155525,Тверской
154772,Тверской
125582,Тверской
25081,Тверской
146952,Тверской
125260,Тверской
21862,Тверской
111933,Тверской
126484,Тверской
25127,Тверской
121029,Тверской
129108,Тверской
23047,Марьина Роща
115510,Таганский
142581,Замоскворечье
27808,Соколиная Гора
29283,Кузьминки
26172,Марьина Роща
153957,Марьина Роща
23029,Марьина Роща
83872,Марьина Роща
138104,Марьина Роща
21117,Марьина Роща
21203,Марьина Роща
22511,Мещанский
24664,Донской
146109,Замоскворечье
25645,Замоскворечье
151037,Зябликово
74550,Красносельский
129384,Тверской
124628,Замоскворечье
124607,Замоскворечье
124688,Замоскворечье
27451,Северное Медведково
27186,Хамовники
27093,Хамовники
149196,Хамовники
153445,Хамовники
22625,Хамовники
134362,Хамовники
27321,Хамовники
153257,Хамовники
28531,Тёплый Стан
102906,Пресненский
102849,Пресненский
101760,Пресненский
142901,Пресненский
157976,Метрогородок
157665,Метрогородок
155821,Метрогородок
136764,Метрогородок
21444,Метрогородок
145562,Отрадное
28749,Отрадное
23496,Очаково-Матвеевское
80919,Сокол
24410,Сокол
28672,Сокол
83188,Сокол
83157,Измайлово
157323,Измайлово
24805,Измайлово
28840,Северное Измайлово
28838,Северное Измайлово
143264,Измайлово
143266,Измайлово
73313,Измайлово
25558,Северное Измайлово
28479,Восточное Измайлово
73583,Северное Измайлово
23601,Кунцево
23604,Кунцево
89639,Измайлово
22149,Измайлово
81391,Измайлово
58640,Измайлово
24447,Измайлово
139167,Измайлово
24439,Восточное Измайлово
25282,Измайлово
21981,Восточное Измайлово
27119,Восточное Измайлово
142794,Восточное Измайлово
21355,Восточное Измайлово
25754,Мещанский
27873,Мещанский
27239,Новогиреево
27238,Новогиреево
22044,Тверской
155866,Тверской
58472,Тверской
127293,Тверской
26800,Тверской
27317,Тверской
74891,Тверской
133091,Тверской
152565,Тверской
21773,Донской
21774,Донской
76569,Тверской
70329,Савёловский
142597,Савёловский
26925,Савёловский
139584,Савёловский
26555,Ховрино
27152,Ховрино
20048,Фили-Давыдково
129989,Хамовники
26837,Хамовники
24327,Хамовники
23980,Дорогомилово
154754,Перово
152199,Хамовники
25176,Хамовники
153714,Хамовники
21778,Дорогомилово
25261,Богородское
151820,Богородское
125348,Богородское
25694,Богородское
101761,Пресненский
156679,Басманный
27629,Дорогомилово
152839,Басманный
23541,Рязанский
68321,Якиманка
26842,Якиманка
125108,Якиманка
124608,Якиманка
111601,Якиманка
78111,Якиманка
149912,Якиманка
21626,Южное Медведково
20156,Солнцево
140487,Красносельский
22711,Беговой
25894,Преображенское
26911,Преображенское
26565,Преображенское
83022,Преображенское
157835,Пресненский
76610,Пресненский
152317,Бибирево
71428,Бибирево
71429,Бибирево
153425,Бибирево
108858,Москворечье-Сабурово
23666,Москворечье-Сабурово
146457,Преображенское
154596,Академический
29061,Академический
153091,Академический
23842,Академический
23853,Академический
27263,Академический
23844,Академический
21487,Академический
27269,Черёмушки
21586,Черёмушки
28529,Обручевский
143692,Коньково
154938,Коньково
29610,Тёплый Стан
28530,Тёплый Стан
21022,Ярославский
20127,Раменки
71567,Тверской
129111,Тверской
26769,Тверской
74844,Тверской
74841,Тверской
141507,Тверской
128015,Тверской
27196,Тверской
153474,Тверской
106694,Тверской
59268,Тверской
23429,Раменки
21879,Замоскворечье
24652,Замоскворечье
119630,Замоскворечье
124103,Замоскворечье
140691,Замоскворечье
149105,Замоскворечье
21993,Замоскворечье
120201,Замоскворечье
145603,Замоскворечье
75653,Замоскворечье
140016,Замоскворечье
137450,Замоскворечье
24113,Замоскворечье
139871,Замоскворечье
158152,Замоскворечье
128601,Замоскворечье
138725,Замоскворечье
73274,Северное Тушино
135278,Беговой
26923,Беговой
29551,Вешняки
28359,Нагатинский Затон
24991,Таганский
20381,Нижегородский
22514,Мещанский
138525,Мещанский
127627,Южнопортовый
26453,Пресненский
81040,Крылатское
151720,Кунцево
25180,Хамовники
24470,Сокольники
58854,Сокольники
26908,Сокольники
24473,Сокольники
154327,Сокольники
149427,Сокольники
157767,Бутырский
20878,Щукино
76573,Щукино
21864,Хамовники
127492,Рязанский
21939,Выхино-Жулебино
147066,Хамовники
27304,Хамовники
156569,Пресненский
24274,Пресненский
140829,Пресненский
115327,Пресненский
24193,Пресненский
22064,Тверской
21413,Тверской
158093,Тверской
152527,Пресненский
81166,Пресненский
26406,Пресненский
22609,Тверской
22597,Тверской
84312,Красносельский
152474,Красносельский
156872,Красносельский
22167,Красносельский
111833,Тверской
153051,Тверской
21743,Басманный
24910,Басманный
157402,Басманный
138449,Тверской
27092,Тверской
25109,Тверской
156365,Текстильщики
27532,Текстильщики
156095,Новогиреево
20091,Покровское-Стрешнево
132580,Южное Тушино
26272,Царицыно
73199,Котловка
21134,Северный
76959,Тверской
24311,Тверской
74902,Тверской
23110,Ростокино
23111,Ростокино
84394,Басманный
59387,Соколиная Гора
74786,Соколиная Гора
24919,Басманный
138535,Замоскворечье
29755,Даниловский
25376,Даниловский
143892,Даниловский
133821,Даниловский
136477,Даниловский
129335,Даниловский
142139,Даниловский
141385,Раменки
24331,Хамовники
27130,Южнопортовый
29574,Даниловский
25630,Даниловский
157932,Нагорный
25297,Измайлово
23808,Фили-Давыдково
74251,Хамовники
156893,Хамовники
58662,Хамовники
81471,Хамовники
26084,Хамовники
157693,Головинский
21568,Левобережный
24886,Сокольники
149757,Солнцево
150688,Солнцево
27295,Ясенево
26410,Пресненский
152493,Пресненский
24264,Пресненский
128827,Мещанский
147447,Красносельский
149003,Красносельский
25977,Красносельский
21017,Красносельский
21145,Люблино
28059,Люблино
24512,Люблино
29884,Ивановское
102841,Пресненский
151469,Басманный
84529,Лосиноостровский
28728,Лосиноостровский
141695,Лосиноостровский
71528,Донской
74935,Тверской
22046,Тверской
156704,Тверской
88908,Тверской
152945,Тверской
144338,Тверской
125271,Тверской
22172,Тверской
115599,Тверской
25115,Тверской
25144,Тверской
149999,Тверской
26977,Тверской
20089,Покровское-Стрешнево
22203,Марьина Роща
157130,Замоскворечье
28395,Строгино
145412,Сокольники
151751,Сокольники
72315,Сокольники
23141,Северное Медведково
20366,Северное Медведково
24000,Дорогомилово
155698,Дорогомилово
29630,Дорогомилово
58475,Пресненский
149382,Пресненский
83757,Пресненский
144017,Нагатинский Затон
153328,Нагатинский Затон
21536,Нагатинский Затон
103788,Нагатинский Затон
22518,Мещанский
155608,Марьина Роща
154309,Марьина Роща
128707,Марьина Роща
26167,Марьина Роща
25668,Марьина Роща
125309,Марьина Роща
71794,Марьина Роща
20939,Марьина Роща
21741,Южное Тушино
24013,Южное Тушино
81652,Южное Тушино
127907,Южное Тушино
151930,Южное Тушино
150996,Южное Тушино
80565,Тверской
29423,Люблино
155495,Таганский
83942,Таганский
24739,Таганский
82689,Западное Дегунино
26136,Западное Дегунино
27647,Строгино
28864,Лефортово
139386,Замоскворечье
29249,Выхино-Жулебино
29251,Выхино-Жулебино
149535,Выхино-Жулебино
124661,Тверской
60467,Тверской
154657,Тверской
142744,Тверской
21439,Свиблово
24414,Тимирязевский
28574,Тимирязевский
154637,Тимирязевский
23635,Кунцево
70014,Люблино
154376,Пресненский
132949,Пресненский
138390,Пресненский
138444,Пресненский
110299,Марьина Роща
22473,Мещанский
129762,Южнопортовый
134363,Мещанский
140388,Арбат
24146,Арбат
22007,Таганский
22028,Таганский
21870,Даниловский
129585,Даниловский
133389,Даниловский
26251,Даниловский
71703,Южное Тушино
24012,Южное Тушино
22245,Северное Тушино
142199,Северное Тушино
